Date,variable,value
27/01/20,Predicted_S,158757
28/01/20,Predicted_S,158756.7379
29/01/20,Predicted_S,158756.4255
30/01/20,Predicted_S,158756.0531
31/01/20,Predicted_S,158755.6092
01/02/20,Predicted_S,158755.08
02/02/20,Predicted_S,158754.4492
03/02/20,Predicted_S,158753.6972
04/02/20,Predicted_S,158752.8008
05/02/20,Predicted_S,158751.7322
06/02/20,Predicted_S,158750.4584
07/02/20,Predicted_S,158748.94
08/02/20,Predicted_S,158747.13
09/02/20,Predicted_S,158744.9724
10/02/20,Predicted_S,158742.4004
11/02/20,Predicted_S,158739.3346
12/02/20,Predicted_S,158735.6801
13/02/20,Predicted_S,158731.3238
14/02/20,Predicted_S,158726.1311
15/02/20,Predicted_S,158719.9416
16/02/20,Predicted_S,158712.5638
17/02/20,Predicted_S,158703.7698
18/02/20,Predicted_S,158693.2881
19/02/20,Predicted_S,158680.7949
20/02/20,Predicted_S,158665.9046
21/02/20,Predicted_S,158648.1579
22/02/20,Predicted_S,158627.0078
23/02/20,Predicted_S,158601.8025
24/02/20,Predicted_S,158571.7663
25/02/20,Predicted_S,158535.9756
26/02/20,Predicted_S,158493.3312
27/02/20,Predicted_S,158442.5255
28/02/20,Predicted_S,158382.0032
29/02/20,Predicted_S,158309.9155
01/03/20,Predicted_S,158224.0658
02/03/20,Predicted_S,158121.846
03/03/20,Predicted_S,158000.1617
04/03/20,Predicted_S,157855.345
05/03/20,Predicted_S,157683.0527
06/03/20,Predicted_S,157478.149
07/03/20,Predicted_S,157234.5702
08/03/20,Predicted_S,156945.1704
09/03/20,Predicted_S,156601.5473
10/03/20,Predicted_S,156193.8477
11/03/20,Predicted_S,155710.5545
12/03/20,Predicted_S,155138.2577
13/03/20,Predicted_S,154461.4162
14/03/20,Predicted_S,153662.1212
15/03/20,Predicted_S,152719.8767
16/03/20,Predicted_S,151611.4214
17/03/20,Predicted_S,150310.6249
18/03/20,Predicted_S,148788.504
19/03/20,Predicted_S,147013.4155
20/03/20,Predicted_S,144951.4966
21/03/20,Predicted_S,142567.4352
22/03/20,Predicted_S,139825.6538
23/03/20,Predicted_S,136691.9862
24/03/20,Predicted_S,133135.8966
25/03/20,Predicted_S,129133.2363
26/03/20,Predicted_S,124669.4453
27/03/20,Predicted_S,119742.983
28/03/20,Predicted_S,114368.6312
29/03/20,Predicted_S,108580.1704
30/03/20,Predicted_S,102431.8484
31/03/20,Predicted_S,95998.07293
01/04/20,Predicted_S,89370.93196
02/04/20,Predicted_S,82655.47177
03/04/20,Predicted_S,75963.10224
04/04/20,Predicted_S,69403.93528
05/04/20,Predicted_S,63079.15544
