nolock,lock25,lock50,lock75
223,219,213,206
249,242,232,215
277,262,249,221
309,288,267,227
340,310,286,232
371,338,305,240
400,365,324,246
433,393,340,249
467,417,358,255
504,445,373,260
541,474,391,267
576,502,407,272
615,526,419,276
651,554,434,280
687,585,448,286
728,612,459,290
765,639,474,297
802,666,485,301
843,690,496,306
883,711,504,309
923,732,509,313
955,748,511,317
992,762,520,319
1027,772,528,320
1054,783,532,321
1081,797,540,322
1111,813,541,322
1133,824,546,322
1148,840,550,324
1166,858,554,327
1191,869,557,328
1202,874,562,328
1216,882,565,327
1235,891,567,325
1249,902,565,329
1260,918,563,329
1274,928,563,328
1285,941,565,324
1299,950,566,325
1307,963,567,325
1317,977,567,324
1318,984,566,323
1327,996,565,318
1336,1007,567,316
1344,1017,565,316
1347,1030,568,312
1352,1037,567,309
1352,1042,570,305
1355,1051,566,302
1367,1061,567,300
1362,1065,569,299
1364,1074,568,295
1362,1079,570,294
1374,1089,567,292
1380,1097,569,291
1384,1106,572,288
1390,1113,575,289
1389,1123,573,290
1392,1137,575,290
1404,1152,576,292
1415,1166,573,295
1422,1178,574,298
1439,1198,577,299
1458,1219,583,301
1468,1230,589,304
1486,1243,590,305
1497,1262,594,306
1509,1282,600,313
1525,1295,601,316
1548,1312,609,322
1576,1328,615,330
1606,1350,624,335
1635,1367,627,337
1661,1388,637,339
1693,1409,648,345
1724,1432,659,349
1770,1457,664,353
1814,1482,670,359
1853,1505,680,359
1892,1529,691,364
1929,1559,699,363
1971,1593,704,365
2019,1625,712,367
2058,1660,720,368
2099,1694,729,368
2146,1720,733,367
2185,1756,736,365
2224,1790,742,365
2250,1817,748,368
2283,1850,754,373
2305,1877,758,380
2332,1908,767,382
2350,1935,771,385
2363,1967,782,389
2388,2000,790,390
2402,2025,803,389
2412,2062,808,390
2415,2097,816,392
2423,2132,827,392
2434,2171,831,395
2432,2205,839,397
2435,2236,844,400
2437,2271,851,402
2435,2304,861,404
2425,2344,866,407
2427,2384,873,408
2425,2419,877,406
2417,2450,876,406
2418,2478,876,408
2412,2514,882,414
2401,2539,888,418
2391,2565,894,416
2392,2577,894,416
2384,2597,900,416
2376,2609,902,412
2366,2618,904,409
2355,2617,909,409
2336,2605,911,407
2311,2577,916,407
2285,2544,921,406
2266,2512,923,408
2238,2479,925,408
2210,2449,927,411
2177,2413,928,411
2141,2372,934,413
2100,2326,934,414
2065,2278,937,415
2012,2230,940,418
1959,2172,945,418
1905,2112,952,419
1845,2053,962,419
1776,1987,969,420
1710,1919,971,423
1640,1854,976,427
1569,1787,985,431
1503,1727,990,435
1432,1670,995,441
1362,1610,1006,446
1298,1555,1012,452
1229,1508,1017,457
1168,1460,1026,458
1101,1410,1032,462
1035,1361,1041,461
975,1315,1043,466
915,1269,1047,467
858,1225,1053,468
804,1185,1053,470
753,1142,1048,467
706,1099,1047,466
658,1057,1043,461
613,1016,1033,458
572,978,1027,457
534,942,1016,456
498,908,1003,450
465,871,988,449
433,836,968,447
405,800,946,442
378,765,922,439
352,732,899,436
329,700,870,431
307,667,845,428
286,635,818,425
266,604,790,426
247,574,763,422
231,544,737,420
215,512,708,419
200,485,673,417
186,457,642,418
174,431,613,418
162,404,584,418
151,376,553,417
140,353,523,415
130,330,493,415
121,308,464,414
113,287,436,418
105,268,408,417
98,252,385,416
91,234,361,417
85,218,339,418
79,203,317,417
73,189,296,417
68,176,277,416
63,164,260,416
59,153,244,412
55,142,228,413
51,132,214,416
47,123,200,417
44,114,187,417
41,106,174,418
38,99,162,418
35,92,152,419
33,86,141,418
31,80,132,419
29,74,123,414
27,69,115,413
25,64,107,411
23,60,100,411
21,56,94,408
20,52,87,406
19,48,81,405
